#Fusion Events Log:
#evnt, fam1, fam2, gen, spliceLoc
0	12	2	0	223
1	7	19	4	132
2	18	5	2	128
3	3	3	2	120
4	1	1	1	125
5	5	5	4	140
6	5	11	3	170
7	9	3	0	211
8	10	13	3	192
9	11	11	4	128
10	8	18	4	175
11	11	2	3	244
12	0	7	1	150
13	12	7	1	153
14	18	5	1	203
15	7	6	2	105
16	2	4	2	186
17	14	18	1	206
18	0	1	2	195
19	9	15	4	128
20	10	9	2	164
21	1	17	3	233
22	18	7	0	173
23	14	16	3	151
24	13	9	4	239
25	1	8	2	218
26	14	1	1	210
27	9	3	1	71
28	18	3	3	113
29	4	1	4	116
30	1	13	3	207
31	2	8	2	159
32	2	7	0	159
33	6	16	1	244
34	17	17	4	63
35	19	7	4	190
36	3	2	0	90
37	15	16	4	121
38	3	0	4	227
39	5	5	4	156
40	7	15	1	234
41	9	4	4	168
42	2	10	2	144
43	10	3	0	182
44	7	19	4	156
45	14	4	0	81
46	1	2	3	197
47	8	15	4	73
48	8	14	2	187
49	15	12	3	127
50	1	14	0	121
51	4	16	2	77
52	14	2	0	190
53	8	3	3	106
54	10	6	2	128
55	10	16	3	218
56	10	10	2	189
57	19	16	3	235
58	9	18	3	55
59	12	1	0	155
60	12	9	1	221
61	4	13	3	61
62	6	11	1	171
63	8	6	0	141
64	1	11	2	94
65	16	17	0	185
66	12	2	2	236
67	2	11	2	234
68	3	16	0	90
69	13	2	1	137
70	9	7	3	202
71	15	13	0	217
72	17	6	4	245
73	8	14	3	220
74	11	3	4	147
75	10	16	2	125
76	6	15	2	124
77	17	12	2	144
78	1	8	3	51
79	14	12	1	245
80	0	11	1	187
81	16	4	4	82
82	16	1	1	172
83	6	17	3	165
84	3	13	2	90
85	17	19	2	73
86	18	13	4	89
87	13	11	1	232
88	16	0	4	123
89	3	15	1	186
90	14	2	4	139
91	17	16	4	71
92	12	18	2	122
93	6	4	2	135
94	16	19	2	143
95	9	13	3	91
96	10	2	3	207
97	14	8	3	117
98	2	8	3	184
99	19	17	0	179
100	1	19	1	82
101	7	5	3	113
102	15	1	2	201
103	8	4	0	144
104	17	15	4	246
105	0	9	4	67
106	0	15	0	158
107	0	12	1	238
108	4	2	3	50
109	13	4	3	237
110	3	0	3	115
111	9	10	4	182
112	15	3	4	157
113	4	8	4	242
114	16	8	3	95
115	9	18	3	246
116	11	4	3	236
117	7	15	4	172
118	7	3	1	157
119	17	19	1	231
120	18	19	1	204
121	1	5	2	125
122	13	4	2	100
123	5	6	4	53
124	1	15	4	93
125	1	8	0	248
126	4	4	0	197
127	18	11	0	200
128	14	5	1	215
129	14	1	2	177
130	6	2	0	76
131	19	16	1	194
132	1	9	1	228
133	13	18	4	72
134	15	18	4	121
135	8	19	1	74
136	13	5	0	235
137	18	0	2	115
138	11	9	3	240
139	17	11	1	86
140	19	8	0	160
141	0	8	4	145
142	18	5	0	101
143	16	5	2	233
144	15	4	4	128
145	17	7	0	231
146	19	1	0	210
147	10	14	1	217
148	2	1	2	169
149	1	3	0	249
150	14	12	3	133
151	9	0	1	133
152	8	0	1	186
153	16	15	4	160
154	7	7	3	133
155	7	3	3	169
156	10	17	1	240
157	15	0	4	172
158	10	2	0	211
159	12	4	2	65
160	16	11	2	122
161	2	4	1	72
162	5	16	4	207
163	14	17	1	71
164	14	17	1	50
165	4	4	4	170
166	2	8	3	147
167	5	6	4	158
168	17	17	0	162
169	13	12	1	81
170	1	9	3	125
171	11	1	3	119
172	3	11	1	226
173	7	13	0	215
174	19	7	1	227
175	12	15	3	58
176	13	16	1	93
177	0	14	1	153
178	6	7	0	152
179	1	3	4	182
180	5	18	4	120
181	2	5	1	137
182	12	14	1	221
183	5	5	3	133
184	8	15	0	73
185	12	17	1	245
186	1	14	0	201
187	6	13	4	127
188	9	19	0	106
189	2	5	0	177
190	1	12	3	147
191	15	11	4	56
192	5	13	4	53
193	9	13	2	222
194	15	1	0	174
195	17	3	2	239
196	6	16	0	94
197	5	18	2	91
198	15	13	3	223
199	15	8	3	227
200	0	6	4	160
201	7	17	4	243
202	11	15	4	71
203	11	13	0	226
204	2	13	3	183
205	11	15	4	203
206	14	16	0	213
207	16	7	3	112
208	2	16	0	124
209	6	6	2	118
210	11	4	1	124
211	5	15	2	182
212	13	4	1	94
213	12	13	3	69
214	11	3	3	139
215	7	4	3	242
216	6	4	3	151
217	8	19	1	174
218	6	19	3	188
219	13	15	0	165
220	8	9	3	52
221	5	11	2	82
222	14	6	0	225
223	19	2	4	138
224	0	8	4	149
225	4	4	2	50
226	18	0	2	110
227	6	17	1	156
228	1	12	4	79
229	12	11	1	249
230	6	16	2	159
231	0	13	0	90
232	12	11	3	156
233	3	12	0	238
234	15	11	4	166
235	18	9	3	99
236	11	4	3	82
237	18	9	1	123
238	6	3	2	145
239	13	3	4	224
240	2	19	0	152
241	13	13	0	190
242	7	9	1	237
243	13	14	4	168
244	18	16	0	230
245	19	7	4	78
246	15	18	3	72
247	11	11	0	113
248	0	6	0	197
249	12	19	2	142
250	17	9	0	131
251	7	16	1	125
252	8	4	1	50
253	10	18	1	231
254	11	5	0	189
255	11	0	1	128
